,Gair,lemma,tag,pymusas,synset,lemma.1,tag.1,pymusas_1
271,oed,oed,E,"['T3++', 'T3']",hyd,hyd,E,"['N3.7', 'T1.3', 'M4']"
272,oed,oed,E,"['T3++', 'T3']",1214,1214,Gw,['Z99']
273,oed,oed,E,"['T3++', 'T3']",pan,pan,Cys,['Z5']
274,oed,oed,E,"['T3++', 'T3']",1618,1618,Gw,['Z99']
275,oed,oed,E,"['T3++', 'T3']",wythmlwydd,wythmlwydd,unk,['Z99']
276,oed,oed,E,"['T3++', 'T3']",79,79,Gw,['Z99']
277,oed,oed,E,"['T3++', 'T3']",14mlwydd,14mlwydd,unk,['Z99']
278,oed,oed,E,"['T3++', 'T3']",17mlwydd,17mlwydd,unk,['Z99']
279,oed,oed,E,"['T3++', 'T3']",201590,201590,Gw,['Z99']
282,llywodraeth,llywodraeth,E,['G1.1c'],duwlywodraeth,duwlywodraeth,unk,['Z99']
283,llywodraeth,llywodraeth,E,['G1.1c'],camlywodraeth,camlywodraeth,unk,['Z99']
284,llywodraeth,llywodraeth,E,['G1.1c'],Anllywodraeth,Anllywodraeth,E,['Z99']
286,llywodraeth,llywodraeth,E,['G1.1c'],cynlywodraeth,cynlywodraeth,unk,['Z99']
287,llywodraeth,llywodraeth,E,['G1.1c'],dilywodraeth,dilywodraeth,unk,['Z99']
288,llywodraeth,llywodraeth,E,['G1.1c'],dilywodraeth,dilywodraeth,unk,['Z99']
289,llywodraeth,llywodraeth,E,['G1.1c'],lleywodraeth,lleywodraeth,unk,['Z99']
292,gwybodaeth,gwybodaeth,E,"['X2.2+', 'S3.2/B1%']",gamwybodaeth,gamwybodaeth,unk,['Z99']
293,gwybodaeth,gwybodaeth,E,"['X2.2+', 'S3.2/B1%']",niGwybodaeth,niGwybodaeth,unk,['Z99']
294,gwybodaeth,gwybodaeth,E,"['X2.2+', 'S3.2/B1%']",gorwybodaeth,gorwybodaeth,unk,['Z99']
295,gwybodaeth,gwybodaeth,E,"['X2.2+', 'S3.2/B1%']",Rhagwybodaeth,Rhagwybodaeth,E,['Z99']
296,gwybodaeth,gwybodaeth,E,"['X2.2+', 'S3.2/B1%']",EcoGwybodaeth,EcoGwybodaeth,E,['Z99']
